pose,frame,direction_index,direction,source_yaw_degrees,file,phase
idle,0,0,S,-53.130102,renders/idle/rat-a2-r6-idle-00-s.png,neutral_four_paw_ground_contact
idle,0,1,SW,-25.904474,renders/idle/rat-a2-r6-idle-01-sw.png,neutral_four_paw_ground_contact
idle,0,2,W,36.869898,renders/idle/rat-a2-r6-idle-02-w.png,neutral_four_paw_ground_contact
idle,0,3,NW,99.644270,renders/idle/rat-a2-r6-idle-03-nw.png,neutral_four_paw_ground_contact
idle,0,4,N,126.869898,renders/idle/rat-a2-r6-idle-04-n.png,neutral_four_paw_ground_contact
idle,0,5,NE,154.095526,renders/idle/rat-a2-r6-idle-05-ne.png,neutral_four_paw_ground_contact
idle,0,6,E,-143.130102,renders/idle/rat-a2-r6-idle-06-e.png,neutral_four_paw_ground_contact
idle,0,7,SE,-80.355730,renders/idle/rat-a2-r6-idle-07-se.png,neutral_four_paw_ground_contact
walk-key,4,0,S,-53.130102,renders/walk-key/rat-a2-r6-walk-key-f04-00-s.png,diagonal_FL_RR_lift
walk-key,4,1,SW,-25.904474,renders/walk-key/rat-a2-r6-walk-key-f04-01-sw.png,diagonal_FL_RR_lift
walk-key,4,2,W,36.869898,renders/walk-key/rat-a2-r6-walk-key-f04-02-w.png,diagonal_FL_RR_lift
walk-key,4,3,NW,99.644270,renders/walk-key/rat-a2-r6-walk-key-f04-03-nw.png,diagonal_FL_RR_lift
walk-key,4,4,N,126.869898,renders/walk-key/rat-a2-r6-walk-key-f04-04-n.png,diagonal_FL_RR_lift
walk-key,4,5,NE,154.095526,renders/walk-key/rat-a2-r6-walk-key-f04-05-ne.png,diagonal_FL_RR_lift
walk-key,4,6,E,-143.130102,renders/walk-key/rat-a2-r6-walk-key-f04-06-e.png,diagonal_FL_RR_lift
walk-key,4,7,SE,-80.355730,renders/walk-key/rat-a2-r6-walk-key-f04-07-se.png,diagonal_FL_RR_lift
